Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,OI,QryIndex
20220704,1139,3,4,8,27,0,14205,14205,14201,14202,31,,579
20220704,1140,8,15,7,19,0,14204,14207,14204,14206,34,,580
20220704,1141,26,37,9,26,0,14207,14210,14207,14209,63,,581
20220704,1142,25,48,10,11,0,14209,14214,14208,14213,59,,582
20220704,1143,73,117,31,51,0,14214,14224,14214,14222,168,,583
20220704,1144,39,54,39,65,0,14223,14225,14218,14219,119,,584
20220704,1145,19,23,21,31,0,14218,14219,14217,14218,54,,585
20220704,1146,33,37,26,66,0,14218,14220,14212,14215,103,,586
20220704,1147,10,23,11,18,0,14214,14216,14210,14213,41,,587
20220704,1148,1,2,11,34,0,14212,14213,14210,14210,36,,588
20220704,1149,6,17,5,15,0,14211,14211,14210,14211,32,,589
20220704,1150,3,5,11,24,0,14211,14211,14208,14208,29,,590
20220704,1151,4,13,5,5,0,14209,14211,14208,14208,18,,591
20220704,1152,0,0,8,20,0,14208,14208,14206,14206,20,,592
20220704,1153,6,7,14,23,0,14206,14206,14204,14206,30,,593
20220704,1154,8,10,10,10,0,14206,14206,14203,14205,20,,594
20220704,1155,3,3,7,21,0,14206,14206,14203,14203,24,,595
20220704,1156,9,19,2,2,0,14203,14205,14202,14205,21,,596
20220704,1157,7,11,7,14,0,14206,14207,14206,14206,25,,597
20220704,1158,1,1,6,12,0,14206,14207,14205,14205,13,,598
20220704,1159,11,22,4,5,0,14205,14212,14205,14212,27,,599
20220704,1200,6,13,14,38,0,14213,14214,14207,14207,51,,600
20220704,1201,6,12,5,6,0,14206,14209,14206,14208,18,,601
20220704,1202,1,2,10,17,0,14207,14208,14205,14205,19,,602
20220704,1203,2,3,7,13,0,14206,14207,14205,14205,16,,603
20220704,1204,4,13,8,11,0,14205,14206,14203,14206,24,,604
20220704,1205,3,7,3,3,0,14205,14208,14205,14207,10,,605
20220704,1206,6,11,5,10,0,14207,14212,14207,14210,21,,606
20220704,1207,2,2,5,5,0,14209,14209,14208,14209,7,,607
20220704,1208,6,9,4,5,0,14211,14212,14210,14211,14,,608
20220704,1209,15,34,4,10,0,14212,14216,14211,14215,44,,609
20220704,1210,1,1,9,10,0,14216,14216,14212,14212,11,,610
20220704,1211,0,0,15,24,0,14212,14212,14208,14208,24,,611
20220704,1212,6,8,19,31,0,14207,14207,14201,14201,39,,612
20220704,1213,7,11,4,5,0,14200,14203,14200,14202,16,,613
20220704,1214,3,4,12,21,0,14202,14203,14201,14201,25,,614
20220704,1215,14,22,40,137,0,14200,14200,14195,14197,159,,615
20220704,1216,17,19,7,13,0,14195,14199,14195,14198,32,,616
20220704,1217,8,12,14,22,0,14199,14199,14195,14196,34,,617
20220704,1218,9,15,18,36,0,14196,14198,14191,14195,51,,618
20220704,1219,6,12,13,26,0,14195,14195,14190,14191,38,,619
20220704,1220,18,31,9,18,0,14191,14193,14190,14193,49,,620
20220704,1221,14,25,14,33,0,14191,14194,14190,14194,58,,621
20220704,1222,15,26,3,3,0,14193,14197,14193,14196,29,,622
20220704,1223,10,18,5,15,0,14197,14199,14196,14199,33,,623
20220704,1224,0,0,10,22,0,14198,14198,14194,14194,22,,624
20220704,1225,11,20,3,3,0,14194,14200,14193,14200,23,,625
20220704,1226,1,1,6,14,0,14199,14199,14194,14195,15,,626
20220704,1227,7,14,5,5,0,14193,14197,14193,14197,19,,627
20220704,1228,1,4,5,12,0,14197,14197,14195,14195,16,,628
20220704,1229,8,19,2,2,0,14196,14197,14195,14197,21,,629
20220704,1230,16,30,7,8,0,14198,14201,14198,14198,38,,630
20220704,1231,4,4,3,3,0,14200,14200,14199,14199,7,,631
20220704,1232,5,7,9,22,0,14199,14199,14193,14198,29,,632
20220704,1233,4,6,2,4,0,14198,14198,14197,14198,10,,633
20220704,1234,9,20,6,13,0,14197,14199,14195,14199,33,,634
20220704,1235,4,10,3,6,0,14200,14200,14198,14200,16,,635
20220704,1236,14,21,8,14,0,14201,14204,14201,14201,35,,636
20220704,1237,0,0,6,6,0,14201,14201,14200,14200,6,,637
20220704,1238,1,1,3,4,0,14200,14201,14200,14200,5,,638
20220704,1239,2,3,4,8,0,14200,14201,14200,14200,11,,639
20220704,1240,0,0,9,26,0,14199,14199,14195,14195,26,,640
20220704,1241,2,4,1,4,0,14195,14197,14195,14197,8,,641
20220704,1242,5,11,0,0,0,14197,14198,14197,14198,11,,642
