Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,QryIndex
20220120,0,38914,84469,38524,84482,0,18158,18270,18081,18226,168951,257
20220121,0,47991,96390,51761,106647,0,18248,18287,17836,17895,203037,258
20220124,0,50856,103127,48203,99528,0,17900,17973,17700,17957,202655,259
20220125,0,66347,133186,68989,145521,0,17949,17980,17508,17678,278707,260
20220126,0,47069,93574,46891,95107,0,17645,17757,17509,17625,188681,261
20220207,0,43994,86713,42115,82108,0,17627,17900,17439,17899,168821,262
20220208,0,31180,61315,31986,62925,0,17905,18047,17863,17942,124240,263
20220209,0,27171,55131,24456,47160,0,17967,18169,17948,18167,102291,264
20220210,0,30824,63458,29500,61382,0,18169,18340,18133,18337,124840,265
20220211,0,34801,69467,37543,78045,0,18370,18397,18182,18275,147512,266
20220214,0,40908,79080,45733,94716,0,18288,18380,17934,17977,173796,267
20220215,0,42763,84986,42127,87566,0,17962,18093,17830,17953,172552,268
20220216,0,27001,53058,24987,48799,0,17970,18248,17963,18207,101857,269
20220217,0,40967,81159,40472,80789,0,18233,18330,18153,18243,161948,270
20220218,0,34495,71269,34755,73136,0,18256,18275,18039,18226,144405,271
20220221,0,40558,79076,40031,80785,0,18205,18242,17970,18210,159861,272
20220222,0,46871,91168,50934,104975,0,18243,18256,17773,17878,196143,273
20220223,0,42313,83298,39785,75998,0,17863,18060,17806,18042,159296,274
20220224,0,59910,113846,65093,132291,0,18042,18093,17506,17516,246137,275
20220225,0,68106,129706,68439,129464,0,17478,17702,17226,17606,259170,276
20220301,0,49213,98741,45803,91287,0,17590,17942,17503,17911,190028,277
20220302,0,41815,81656,44134,87286,0,17948,17980,17675,17844,168942,278
20220303,0,40289,81178,39399,76694,0,17783,17965,17680,17929,157872,279
20220304,0,47301,92265,49170,99323,0,17940,17944,17522,17666,191588,280
20220307,0,59589,110445,62982,122369,0,17690,17746,17051,17058,232814,281
20220308,0,70425,127842,71982,133055,0,17075,17175,16695,16702,260897,282
20220309,0,62718,118732,61811,113221,0,16688,17023,16638,16946,231953,283
20220310,0,45699,91899,42056,80800,0,16972,17456,16958,17437,172699,284
20220311,0,49351,90697,53824,102371,0,17449,17496,17170,17220,193068,285
20220314,0,50089,94436,51370,95581,0,17282,17394,17110,17239,190017,286
20220315,0,50088,93427,54530,103801,0,17255,17321,16861,16882,197228,287
20220316,0,44103,77409,42885,75094,0,16846,17095,16728,16937,152503,288
20220317,0,55515,113488,53959,105750,0,17020,17470,16974,17446,219238,289
20220318,0,44810,85162,45543,88362,0,17458,17497,17295,17391,173524,290
20220321,0,39146,73680,37823,73855,0,17390,17577,17305,17489,147535,291
20220322,0,31709,61381,32620,63064,0,17508,17566,17440,17520,124445,292
20220323,0,33683,68575,31998,65286,0,17534,17735,17520,17702,133861,293
20220324,0,32105,63641,33866,67838,0,17692,17700,17547,17671,131479,294
20220325,0,33221,63693,34069,68479,0,17655,17762,17591,17621,132172,295
20220328,0,43221,83196,43728,86195,0,17630,17661,17304,17438,169391,296
20220329,0,32098,61816,31198,61725,0,17454,17583,17433,17545,123541,297
20220330,0,37362,75428,35862,72442,0,17550,17755,17540,17741,147870,298
20220331,0,28723,56949,31944,64011,0,17742,17774,17620,17639,120960,299
20220401,0,33978,66707,35123,69819,0,17620,17663,17414,17554,136526,300
20220406,0,34163,68314,34657,69927,0,17568,17624,17327,17506,138241,301
20220407,0,40996,80182,44655,92411,0,17510,17520,17123,17143,172593,302
20220408,0,37123,76066,34602,70023,0,17187,17318,17134,17316,146089,303
20220411,0,43982,86525,47908,99465,0,17337,17382,16976,17039,185990,304
20220412,0,41373,82559,41783,84845,0,17036,17100,16906,16999,167404,305
20220413,0,41791,88777,39135,78578,0,17016,17321,16975,17316,167355,306
20220414,0,29073,58307,29953,60533,0,17290,17352,17248,17298,118840,307
20220415,0,36110,72096,40228,83636,0,17307,17331,16960,16983,155732,308
20220418,0,31068,59775,31395,61363,0,16976,17019,16813,16881,121138,309
20220419,0,34667,69152,33251,64874,0,16888,17122,16881,17000,134026,310
20220420,0,27367,50489,25907,48169,0,17004,17135,16942,17125,98658,311
20220421,0,33776,67814,33812,68032,0,17057,17222,17053,17126,135846,312
20220422,0,39456,76621,40489,79647,0,17111,17192,16823,16992,156268,313
20220425,0,46802,92537,49681,101832,0,16997,17012,16508,16572,194369,314
20220426,0,42866,84695,41683,82756,0,16505,16666,16490,16586,167451,315
20220427,0,53398,108508,55937,118368,0,16565,16574,16160,16285,226876,316
20220428,0,50831,103301,49310,101408,0,16300,16416,16202,16387,204709,317
20220429,0,47535,97492,47618,96775,0,16422,16658,16319,16583,194267,318
20220503,0,37674,75725,40572,83313,0,16595,16622,16363,16470,159038,319
20220504,0,32623,66619,32132,67242,0,16431,16589,16373,16519,133861,320
20220505,0,38820,77184,39110,78613,0,16528,16776,16394,16684,155797,321
20220506,0,45609,90050,48208,99030,0,16638,16645,16266,16355,189080,322
20220509,0,51035,100027,53769,107602,0,16339,16419,16015,16027,207629,323
20220510,0,52967,107858,52282,108263,0,16048,16091,15730,16039,216121,324
20220511,0,45275,91694,46235,94819,0,16111,16115,15862,16010,186513,325
20220512,0,58511,115936,61807,124418,0,16006,16092,15608,15632,240354,326
20220513,0,51051,104449,49210,99478,0,15631,15854,15526,15851,203927,327
20220516,0,40479,78811,41086,82147,0,15835,16044,15813,15921,160958,328
20220517,0,34135,68506,32470,63844,0,15915,16096,15867,16075,132350,329
20220518,0,26641,51208,25159,49071,0,16100,16318,16080,16302,100279,330
